Day Index,Impressions
01-12-2021,620
02-12-2021,890
03-12-2021,851
04-12-2021,881
05-12-2021,678
06-12-2021,995
07-12-2021,910
08-12-2021,867
09-12-2021,1128
10-12-2021,1129
11-12-2021,1461
12-12-2021,1237
13-12-2021,1403
14-12-2021,1641
15-12-2021,1496
16-12-2021,1775
17-12-2021,1619
18-12-2021,969
19-12-2021,678
20-12-2021,1330
21-12-2021,1331
22-12-2021,1176
23-12-2021,1257
24-12-2021,1085
25-12-2021,1814
26-12-2021,1759
27-12-2021,1119
28-12-2021,893
29-12-2021,1028
30-12-2021,956
31-12-2021,911
01-01-2022,1350
02-01-2022,1704
03-01-2022,2177
04-01-2022,2549
05-01-2022,1915
06-01-2022,2125
07-01-2022,1984
08-01-2022,1859
09-01-2022,1759
10-01-2022,1571
11-01-2022,1818
12-01-2022,1506
13-01-2022,1724
14-01-2022,2196
15-01-2022,1933
16-01-2022,1959
17-01-2022,1689
18-01-2022,1524
19-01-2022,1041
20-01-2022,1175
21-01-2022,1681
22-01-2022,963
23-01-2022,783
24-01-2022,1040
25-01-2022,968
26-01-2022,874
27-01-2022,942
28-01-2022,761
29-01-2022,1447
30-01-2022,1188
31-01-2022,1259
01-02-2022,1043
02-02-2022,1146
03-02-2022,1084
04-02-2022,1059
05-02-2022,1413
06-02-2022,1361
07-02-2022,1276
08-02-2022,1409
09-02-2022,1501
10-02-2022,1744
11-02-2022,1922
12-02-2022,1646
13-02-2022,2013
14-02-2022,2707
15-02-2022,2454
16-02-2022,2019
17-02-2022,2351
18-02-2022,1871
19-02-2022,1462
20-02-2022,1097
21-02-2022,1071
22-02-2022,1046
23-02-2022,944
24-02-2022,1136
25-02-2022,1432
26-02-2022,1388
27-02-2022,1175
28-02-2022,1272
01-03-2022,1706
02-03-2022,1325
03-03-2022,1435
04-03-2022,1214
05-03-2022,1147
06-03-2022,1386
07-03-2022,1571
08-03-2022,1392
09-03-2022,1179
10-03-2022,1292
11-03-2022,1278
12-03-2022,1400
13-03-2022,1371
14-03-2022,1341
15-03-2022,1223
16-03-2022,1439
17-03-2022,1225
18-03-2022,2442
19-03-2022,2372
20-03-2022,2572
21-03-2022,2000
22-03-2022,1336
23-03-2022,1760
24-03-2022,1321
25-03-2022,1462
26-03-2022,2136
27-03-2022,2360
28-03-2022,1640
29-03-2022,2038
30-03-2022,2479
31-03-2022,1961
01-04-2022,2326
02-04-2022,2434
03-04-2022,2208
04-04-2022,2348
05-04-2022,2252
06-04-2022,2293
07-04-2022,1965
08-04-2022,1932
09-04-2022,2235
10-04-2022,2071
11-04-2022,1735
12-04-2022,1710
13-04-2022,1778
14-04-2022,1385
15-04-2022,1466
16-04-2022,1568
17-04-2022,2004
18-04-2022,1875
19-04-2022,1836
20-04-2022,1223
21-04-2022,1215
22-04-2022,1163
23-04-2022,1886
24-04-2022,1916
25-04-2022,1513
26-04-2022,1130
27-04-2022,1430
28-04-2022,1243
29-04-2022,1323
30-04-2022,1394
01-05-2022,1834
02-05-2022,1906
03-05-2022,1743
04-05-2022,1566
05-05-2022,1197
06-05-2022,1624
07-05-2022,1822
08-05-2022,1545
09-05-2022,2050
10-05-2022,1938
11-05-2022,1382
12-05-2022,1214
13-05-2022,1816
14-05-2022,1771
15-05-2022,1584
16-05-2022,1459
17-05-2022,1232
18-05-2022,1578
19-05-2022,1266
20-05-2022,1629
21-05-2022,1279
22-05-2022,1315
23-05-2022,1813
24-05-2022,1369
25-05-2022,1182
26-05-2022,969
27-05-2022,1007
28-05-2022,1336
29-05-2022,1455
30-05-2022,1653
31-05-2022,1791
01-06-2022,2083
02-06-2022,1988
03-06-2022,1586
04-06-2022,1382
05-06-2022,1294
06-06-2022,1418
07-06-2022,1592
08-06-2022,1924
09-06-2022,1910
10-06-2022,1850
11-06-2022,2166
12-06-2022,1680
13-06-2022,1934
14-06-2022,2094
15-06-2022,2039
16-06-2022,2118
17-06-2022,2191
18-06-2022,1628
19-06-2022,2196
20-06-2022,1887
21-06-2022,1538
22-06-2022,1170
23-06-2022,1374
24-06-2022,1147
25-06-2022,865
26-06-2022,1218
27-06-2022,1311
28-06-2022,885
29-06-2022,1000
30-06-2022,875
